date,outlet_name,daypart,tickets,items,revenue_sgd,staff,manager
2025-06-01,Holland Village,Evening,69.0,96.0,613.92,4.0,Daniel Lim
2025-06-01,Holland Village,Midday,57.0,82.0,608.41,4.0,Daniel Lim
2025-06-01,Holland Village,Morning,75.0,106.0,478.6,4.0,Daniel Lim
2025-06-01,Marina Bay,Evening,7.0,10.0,67.72,1.0,Priya Nair
2025-06-01,Marina Bay,Midday,19.0,27.0,207.79,2.0,Priya Nair
2025-06-01,Marina Bay,Morning,40.0,59.0,280.2,3.0,Priya Nair
2025-06-01,Raffles Place,Evening,9.0,13.0,78.38,1.0,Aisha Rahman
2025-06-01,Raffles Place,Midday,20.0,30.0,205.21,2.0,Aisha Rahman
2025-06-01,Raffles Place,Morning,50.0,71.0,324.52,3.0,Aisha Rahman
2025-06-01,Tampines Mall,Evening,61.0,90.0,615.79,4.0,Wei Ming Tan
2025-06-01,Tampines Mall,Midday,82.0,119.0,932.35,5.0,Wei Ming Tan
2025-06-01,Tampines Mall,Morning,80.0,112.0,557.16,5.0,Wei Ming Tan
2025-06-02,Holland Village,Evening,48.0,70.0,434.69,3.0,Daniel Lim
2025-06-02,Holland Village,Midday,41.0,59.0,424.62,3.0,Daniel Lim
2025-06-02,Holland Village,Morning,59.0,92.0,357.44,4.0,Daniel Lim
2025-06-02,Marina Bay,Evening,18.0,28.0,173.74,2.0,Priya Nair
2025-06-02,Marina Bay,Midday,36.0,55.0,394.68,3.0,Priya Nair
2025-06-02,Marina Bay,Morning,96.0,141.0,615.53,5.0,Priya Nair
2025-06-02,Raffles Place,Evening,53.0,36.0,249.85,2.0,Aisha Rahman
2025-06-02,Raffles Place,Midday,75.0,109.0,728.37,4.0,Aisha Rahman
2025-06-02,Raffles Place,Morning,158.0,235.0,1063.87,6.0,Aisha Rahman
2025-06-02,Tampines Mall,Evening,44.0,67.0,399.67,3.0,Wei Ming Tan
2025-06-02,Tampines Mall,Midday,54.0,76.0,565.04,3.0,Wei Ming Tan
2025-06-02,Tampines Mall,Morning,42.0,62.0,275.54,3.0,Wei Ming Tan
2025-06-03,Holland Village,Evening,39.0,57.0,373.33,3.0,Daniel Lim
